Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
277,2016,3.0,3.0,0,0.05776892430278879,0.0,0,0.0
278,2016,3.0,3.0,0,0.09042553191489366,0.0,0,0.0
279,2016,3.0,3.0,0,0.16588202713929656,0.0,0,0.0
280,2016,3.0,3.0,0,0.08997584541062797,0.0,0,0.0
281,2016,3.0,3.0,0,0.07594936708860756,0.0,0,0.0
282,2016,3.0,3.0,0,0.08870967741935487,0.0,0,0.0
283,2016,3.0,3.0,0,0.1258278145695364,0.0,0,0.0
284,2016,3.0,3.0,0,0.2894736842105263,0.0,0,0.0
285,2016,3.0,3.0,0,0.12997347480106103,0.0,0,0.0
286,2016,3.0,3.0,0,0.8153409090909091,0.0,0,0.0
287,2016,3.0,3.0,0,1.0,0.0,0,0.0
288,2016,3.0,3.0,0,0.2007168458781362,0.0,0,0.0
289,2016,3.0,3.0,0,0.6959798994974875,0.0,0,0.0
290,2016,3.0,3.0,0,0.17647058823529416,0.0,0,0.0
291,2016,3.0,3.0,0,0.20268756998880177,0.0,0,0.0
292,2016,3.0,3.0,0,0.9528301886792453,0.0,0,0.0
293,2016,3.0,3.0,0,0.8351648351648352,0.0,0,0.0
294,2016,3.0,3.0,0,0.3787528868360277,0.0,0,0.0
295,2016,3.0,3.0,0,0.25558312655086846,0.0,0,0.0
296,2016,3.0,3.0,0,0.5421106909590925,0.0,0,0.0
297,2016,3.0,3.0,0,0.3998996487706974,0.0,0,0.0
298,2016,3.0,3.0,0,0.16629213483146066,0.0,0,0.0
299,2016,3.0,3.0,0,0.1279863481228669,0.0,0,0.0
300,2016,3.0,3.0,0,0.15742057847321,0.0,0,0.0
301,2016,3.0,3.0,0,0.22608695652173916,0.0,0,0.0
302,2016,3.0,3.0,0,0.31200000000000006,0.0,0,0.0
303,2016,3.0,3.0,0,0.4890788224121557,0.0,0,0.0
304,2016,3.0,3.0,0,0.1329365079365079,0.0,0,0.0
305,2016,3.0,3.0,0,0.09851694915254239,0.0,0,0.0
306,2016,3.0,3.0,0,0.860328219764538,0.0,0,0.0
307,2016,3.0,3.0,0,0.19305555555555554,0.0,0,0.0
308,2016,3.0,3.0,0,0.14201183431952658,0.0,0,0.0
309,2016,3.0,3.0,0,0.10993249758919965,0.0,0,0.0
310,2016,3.0,3.0,0,0.4299087854056649,0.0,0,0.0
311,2016,3.0,3.0,0,0.3088718510405257,0.0,0,0.0
312,2016,3.0,3.0,0,0.721651376146789,0.0,0,0.0
313,2016,3.0,3.0,0,0.1537562116340251,0.0,0,0.0
314,2016,3.0,3.0,0,0.24848484848484853,0.0,0,0.0
315,2016,3.0,3.0,0,0.07988980716253447,0.0,0,0.0
316,2016,3.0,3.0,0,0.9056723450525552,0.0,0,0.0
317,2016,3.0,3.0,0,0.1765913757700205,0.0,0,0.0
318,2016,3.0,3.0,0,0.31999999999999995,0.0,0,0.0
319,2016,3.0,3.0,0,0.16666666666666663,0.0,0,0.0
320,2016,3.0,3.0,0,0.1549893842887473,0.0,0,0.0
321,2016,3.0,3.0,0,0.1680365296803653,0.0,0,0.0
322,2016,3.0,3.0,0,0.10592410592410595,0.0,0,0.0
323,2016,3.0,3.0,0,0.08995686999383856,0.0,0,0.0
324,2016,3.0,3.0,0,0.22477064220183485,0.0,0,0.0
325,2016,3.0,3.0,0,0.4735042735042735,0.0,0,0.0
326,2016,3.0,3.0,0,0.0637636080870918,0.0,0,0.0
327,2016,3.0,3.0,0,0.05006765899864685,0.0,0,0.0
328,2016,3.0,3.0,0,0.32165799938819206,0.0,0,0.0
329,2016,3.0,3.0,0,0.2439644218551461,0.0,0,0.0
330,2016,3.0,3.0,0,0.1385169927909372,0.0,0,0.0
331,2016,3.0,3.0,0,0.09256594724220624,0.0,0,0.0
332,2016,3.0,3.0,0,0.25254237288135595,0.0,0,0.0
333,2016,3.0,3.0,0,0.4116264159008335,0.0,0,0.0
334,2016,3.0,3.0,0,0.13725490196078427,0.0,0,0.0
335,2016,3.0,3.0,0,0.1532589547856723,0.0,0,0.0
336,2016,3.0,3.0,0,0.206647271444944,0.0,0,0.0
337,2016,3.0,3.0,0,0.22857142857142854,0.0,0,0.0
338,2016,3.0,3.0,0,0.0,0.0,0,0.0
339,2016,3.0,3.0,0,0.7731084337349398,0.0,0,0.0
340,2016,3.0,3.0,0,0.15357269818698893,0.0,0,0.0
341,2016,3.0,3.0,0,0.17885659533695308,0.0,0,0.0
342,2016,3.0,3.0,0,0.19587628865979378,0.0,0,0.0
343,2016,3.0,3.0,0,0.15131177547284935,0.0,0,0.0
344,2016,3.0,3.0,0,0.20726783310901753,0.0,0,0.0
345,2016,3.0,3.0,0,0.5231958762886597,0.0,0,0.0
346,2016,3.0,3.0,0,0.11045655375552288,0.0,0,0.0
347,2016,3.0,3.0,0,0.33333333333333337,0.0,0,0.0
348,2016,3.0,3.0,0,0.13957307060755342,0.0,0,0.0
349,2016,3.0,3.0,0,0.17542297417631347,0.0,0,0.0
350,2016,3.0,3.0,0,0.13888888888888884,0.0,0,0.0
351,2016,3.0,3.0,0,0.9768041237113402,0.0,0,0.0
352,2016,3.0,3.0,0,0.1815458358298382,0.0,0,0.0
353,2016,3.0,3.0,0,0.1548387096774193,0.0,0,0.0
354,2016,3.0,3.0,0,0.2375690607734806,0.0,0,0.0
355,2016,3.0,3.0,0,0.711764705882353,0.0,0,0.0
356,2016,3.0,3.0,0,0.010638297872340385,0.0,0,0.0
357,2016,3.0,3.0,0,0.09219858156028371,0.0,0,0.0
358,2016,3.0,3.0,0,0.2155172413793104,0.0,0,0.0
359,2016,3.0,3.0,0,0.16219178082191776,0.0,0,0.0
360,2016,3.0,3.0,0,0.5298408488063661,0.0,0,0.0
361,2016,3.0,3.0,0,0.4565217391304348,0.0,0,0.0
362,2016,3.0,3.0,0,0.2264150943396226,0.0,0,0.0
363,2016,3.0,3.0,0,0.20107238605898126,0.0,0,0.0
364,2016,3.0,3.0,0,0.1698703620920876,0.0,0,0.0
365,2016,3.0,3.0,0,0.4104271933853928,0.0,0,0.0
366,2016,3.0,3.0,0,0.8551298987230295,0.0,0,0.0
367,2016,3.0,3.0,0,0.3890470380913651,0.0,0,0.0
368,2016,3.0,3.0,0,0.1664721898094127,0.0,0,0.0
369,2016,3.0,3.0,0,0.1990606936416185,0.0,0,0.0
370,2016,3.0,3.0,0,0.6509572901325479,0.0,0,0.0
371,2016,3.0,3.0,0,0.16465863453815266,0.0,0,0.0
372,2016,3.0,3.0,0,0.24514563106796117,0.0,0,0.0
373,2016,3.0,3.0,0,0.586225306994127,0.0,0,0.0
374,2016,3.0,3.0,0,0.1718102257024413,0.0,0,0.0
375,2016,3.0,3.0,0,0.48158005322874353,0.0,0,0.0
376,2016,3.0,3.0,0,0.19674355495251017,0.0,0,0.0
377,2016,3.0,3.0,0,0.1713635069740962,0.0,0,0.0
378,2016,3.0,3.0,0,0.0,0.0,0,0.0
379,2016,3.0,3.0,0,0.2857142857142857,0.0,0,0.0
380,2016,3.0,3.0,0,0.17458100558659218,0.0,0,0.0
381,2016,3.0,3.0,0,0.5385611244682819,0.0,0,0.0
382,2016,3.0,3.0,0,0.1352880658436214,0.0,0,0.0
383,2016,3.0,3.0,0,0.16793893129770987,0.0,0,0.0
384,2016,3.0,3.0,0,0.22973856209150323,0.0,0,0.0
385,2016,3.0,3.0,0,0.13095238095238093,0.0,0,0.0
386,2016,3.0,3.0,0,0.14083457526080478,0.0,0,0.0
387,2016,3.0,3.0,0,0.04166666666666663,0.0,0,0.0
388,2016,3.0,3.0,0,0.0,0.0,0,0.0
389,2016,3.0,3.0,0,0.19283276450511944,0.0,0,0.0
390,2016,3.0,3.0,0,0.29447456751871937,0.0,0,0.0
391,2016,3.0,3.0,0,0.09926470588235292,0.0,0,0.0
392,2016,3.0,3.0,0,0.5022727272727272,0.0,0,0.0
393,2016,3.0,3.0,0,0.31936619718309855,0.0,0,0.0
394,2016,3.0,3.0,0,0.08626198083067094,0.0,0,0.0
395,2016,3.0,3.0,0,0.1787741203178207,0.0,0,0.0
396,2016,3.0,3.0,0,0.2552585797880753,0.0,0,0.0
397,2016,3.0,3.0,0,0.13895680521597387,0.0,0,0.0
398,2016,3.0,3.0,0,0.04201680672268904,0.0,0,0.0
399,2016,3.0,3.0,0,0.09999999999999998,0.0,0,0.0
400,2016,3.0,3.0,0,0.17352941176470593,0.0,0,0.0
401,2016,3.0,3.0,0,0.12148685403445147,0.0,0,0.0
402,2016,3.0,3.0,0,0.4,0.0,0,0.0
403,2016,3.0,3.0,0,0.3718386876281613,0.0,0,0.0
404,2016,3.0,3.0,0,0.35064935064935066,0.0,0,0.0
405,2016,3.0,3.0,0,0.23788759689922478,0.0,0,0.0
406,2016,3.0,3.0,0,0.13969465648854962,0.0,0,0.0
407,2016,3.0,3.0,0,0.5225314777998675,0.0,0,0.0
408,2016,3.0,3.0,0,0.18697526662128428,0.0,0,0.0
409,2016,3.0,3.0,0,0.31756756756756754,0.0,0,0.0
410,2016,3.0,3.0,0,0.7272727272727273,0.0,0,0.0
